[[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -59.19449946497278, -0.0, -52.617332857753574, -7.105427357601002e-15, -41.436149625480944, -86.66666666666666, -34.239677744209466, -86.66666666666667, -86.60624370594161, -86.66666666666667, -86.60624370594161, -86.66666666666667, -86.60624370594161, -86.66666666666667, -86.60624370594161, -86.61417322834647, 2.4158453015843406e-13, -86.61417322834647, -65.11394941146997, -81.04778577449264, -83.41712285405728, -65.11394941146997, -81.04778577449264, -86.61417322834646, -86.3623024357523, -85.14901076884541, -86.66666666666671, -86.18832148243911, -83.3153774330245, -59.999999999999886, -59.99999999999991, -64.18984633339818, -81.04778577449264, -86.61417322834646, -65.11394941147003, -81.04778577449264, -80.44243338360985, -41.43614962548089, -41.436149625480894, -86.66666666666666, -55.45181915916935, -86.66666666666687, -80.44243338360985, -69.11568943781792, -86.66666666666688, -72.51940171493585, -72.2854071182029, -86.66666666666688, -72.51940171493585, -72.2854071182029, -86.66666666666684, -72.51940171493585, -50.64418287558776, -86.66666666666694, -63.783801803503664, -86.66666666666659, -67.26588775737409, -65.80142071249267, -62.995307492401054, -62.02797393461841, -86.66666666666694, -66.47908106601996, -62.28980917842574, -62.027973934618416, -63.673604396722816, -63.673604396722816, -59.038229434774394, -54.54728269066414, -54.547282690664204, -73.31624017562382, -86.66666666666637, -58.92923634833007, -50.27652086475619, -86.66666666666657, -58.92923634833005, -61.75263078809732, -62.26297366546151, -59.038229434774394, -54.54728269066424, -86.66666666666646, -55.90722422790291, -59.0382294347744, -53.02067964305722, -59.03822943477439, -68.62400080438387, -45.17520057495703, -53.8157297542632, -61.590712120612224, -68.62400080438387, -56.02240896358541, -62.95922179634421, -65.11317289574738, -86.66666666666671, -71.52516904583017, -86.66666666666677, -68.32456289254793, -71.52516904582994, -69.05040932812854, -61.65962848778443, -69.05040932812854, -61.65962848778449, -66.1365528300826, -67.2357640832527, -86.6666666666677, -77.69935898028838, -46.84118786662168, -62.91794560040577, -61.75765715941111, -68.01611213231959, -68.01611213231959, 351.8518518516739, 3.979039320256561e-13, -66.5824788085069, -66.97249787690261, 351.8518518517044, 3.410605131648481e-13, -66.58247880850693, 351.8518518517039, -25.51705613752182, -52.49845592776668, -65.15860241189452, -62.82051282051312, -65.15860241189452, -72.37283941889633, 1.3784529073745944e-12, -50.768029159073066, -65.41350681091177, -66.58247880850688, -54.185734125629025, -54.18573412562893, -54.18573412562876, -54.185734125628805, -86.66666666666615, -55.17408636866615, -57.49547196832507, -54.18573412562877, -54.18573412562878, -86.666666666666, -55.17408636866618, -57.495471968325134, -65.73079284827446, 2.2495783014164772e-11, -61.33955721748901, -65.7307928482744, -62.949640287769924, -61.659628487784765, -62.46924776413166, -65.7307928482745, -39.73620502546245, -62.65448747206642, -64.40621729920112, -86.66666666665144, -62.92879110480233, -64.57507705856436], [0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 6, 0, 5, 7, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 9, 7, 9, 4, 6, 9, 4, 7, 8, 5, 6, 5, 5, 5, 5, 4, 4, 7, 9, 4, 3, 2, 1, 4, 2, 6, 4, 2, 8, 3, 2, 8, 3, 2, 9, 2, 9, 9, 8, 12, 9, 8, 3, 3, 9, 8, 6, 3, 3, 2, 5, 6, 6, 4, 4, 6, 1, 6, 2, 2, 2, 5, 6, 4, 4, 4, 7, 1, 7, 7, 0, 1, 6, 8, 1, 1, 7, 5, 7, 4, 4, 3, 7, 3, 7, 2, 2, 7, 5, 7, 4, 4, 2, 2, 27, 4, 2, 4, 27, 4, 2, 27, 3, 8, 2, 1, 1, 6, 11, 2, 1, 1, 5, 1, 2, 1, 4, 2, 2, 3, 1, 3, 1, 1, 2, 16, 1, 4, 1, 0, 0, 3, 16, 0, 1, 7, 0, 0], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 4, 0, 3, 0, 2, 0, 1, 0, 1, 0, 3, 0, 5, 3, 2, 4, 2, 1, 3, 9, 0, 3, 3, 2, 2, 2, 1, 1, 3, 0, 0, 1, 1, 1, 2, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 7, 1, 4, 1, 2, 2, 2, 3, 1, 2, 2, 2, 1, 1, 4, 5, 4, 5, 0, 4, 3, 0, 4, 3, 3, 3, 5, 0, 4, 3, 3, 3, 2, 10, 2, 2, 2, 1, 2, 1, 0, 5, 0, 1, 5, 0, 7, 0, 6, 4, 2, 0, 3, 5, 4, 2, 1, 0, 5, 3, 1, 0, 6, 3, 0, 5, 13, 7, 1, 3, 1, 1, 12, 4, 1, 0, 1, 1, 1, 1, 0, 3, 2, 3, 3, 0, 3, 2, 0, 6, 2, 0, 1, 4, 3, 0, 6, 2, 1, 0, 1, 0], 0.03681970000000001]
         520735 function calls (512189 primitive calls) in 0.565 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1167(_recalculate)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1180(__iter__)
       31    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1259(_path_hooks)
      668    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1272(_path_importer_cache)
  319/318    0.001    0.000    0.080    0.000 <frozen importlib._bootstrap_external>:1309(_get_spec)
      318    0.000    0.000    0.081    0.000 <frozen importlib._bootstrap_external>:1341(find_spec)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1401(__init__)
      248    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1407(<genexpr>)
      299    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1433(_get_spec)
      591    0.005    0.000    0.074    0.000 <frozen importlib._bootstrap_external>:1438(find_spec)
       31    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1486(_fill_cache)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1515(<setcomp>)
       31    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1527(path_hook_for_FileFinder)
      536    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:301(cache_from_source)
      591    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      299    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:431(_get_cached)
      268    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:463(_check_name_wrapper)
      268    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:500(_classify_pyc)
      804    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      268    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:533(_validate_timestamp_pyc)
      268    0.001    0.000    0.045    0.000 <frozen importlib._bootstrap_external>:585(_compile_bytecode)
     2878    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
      299    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:636(spec_from_file_location)
     2878    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
      536    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      268    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:781(create_module)
    268/4    0.001    0.000    0.520    0.130 <frozen importlib._bootstrap_external>:784(exec_module)
     1288    0.001    0.000    0.072    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      268    0.003    0.000    0.109    0.000 <frozen importlib._bootstrap_external>:856(get_code)
      398    0.000    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
      268    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:946(__init__)
      268    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:971(get_filename)
      268    0.001    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:976(get_data)
      366    0.000    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       31    0.000    0.000    0.002    0.000 <frozen zipimport>:63(__init__)
        8    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.566    0.566 CCMethod.py:1(<module>)
       81    0.000    0.000    0.000    0.000 CCMethod.py:108(<listcomp>)
       81    0.000    0.000    0.000    0.000 CCMethod.py:109(<listcomp>)
        1    0.000    0.000    0.044    0.044 CCMethod.py:618(analyze_alg2)
        1    0.007    0.007    0.037    0.037 CCMethod.py:72(Practical)
        1    0.000    0.000    0.001    0.001 CCMethod.py:80(<listcomp>)
      162    0.000    0.000    0.000    0.000 CCMethod.py:87(<listcomp>)
      162    0.000    0.000    0.000    0.000 CCMethod.py:89(<listcomp>)
      162    0.002    0.000    0.004    0.000 CCMethod.py:9(Pivot)
       81    0.000    0.000    0.000    0.000 CCMethod.py:95(<listcomp>)
       81    0.000    0.000    0.000    0.000 CCMethod.py:96(<listcomp>)
        1    0.000    0.000    0.000    0.000 ElementPath.py:334(_SelectorContext)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.003    0.003 ElementTree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:106(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1116(_ListDataStream)
        1    0.000    0.000    0.000    0.000 ElementTree.py:125(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1281(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1393(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1515(XMLParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1778(C14NWriterTarget)
        1    0.000    0.000    0.000    0.000 ElementTree.py:477(QName)
