afiro,4,18.2,3,13.6,8,36.4
blend,163,93.1,12,6.9,47,26.9
sc50a,41,89.1,5,10.9,42,91.3
sc50b,30,85.7,5,14.3,31,88.6
scagr7,179,98.4,1,0.5,130,71.4
seba,12,6.0,148,74.4,1,0.5
stocfor1,163,93.1,3,1.7,129,73.7
