afiro,9,22.0,19,46.3,4,9.8
blend,749,28.8,98,3.8,6,0.2
sc50a,79,48.5,17,10.4,33,20.2
sc50b,44,42.7,31,30.1,25,24.3
scagr7,2141,77.3,16,0.6,31,1.1
seba,13,5.5,153,64.6,1,0.4
stocfor1,676,67.0,21,2.1,8,0.8
