afiro,1,4.0,3,12.0,11,44.0
blend,162,93.1,12,6.9,46,26.4
sc50a,36,87.8,5,12.2,37,90.2
sc50b,30,85.7,5,14.3,31,88.6
scagr7,228,98.7,1,0.4,179,77.5
seba,12,6.0,148,74.4,1,0.5
stocfor1,91,88.3,3,2.9,57,55.3
