afiro,42,31.8,11,8.3,10,7.6
blend,743,54.1,65,4.7,40,2.9
sc50a,178,36.9,5,1.0,24,5.0
sc50b,45,22.8,8,4.1,14,7.1
scagr7,4261,91.2,5,0.1,168,3.6
seba,145,38.8,159,42.5,7,1.9
stocfor1,201,66.3,6,2.0,36,11.9
